doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Es,es,INTJ,
text1,1,2,wird,wird,PROPN,
text1,1,3,heute,heute,PROPN,
text1,1,4,keine,keine,PROPN,PERSON_B
text1,1,5,Entscheidung,Entscheidung,PROPN,PERSON_I
text1,1,6,des,des,X,PERSON_I
text1,1,7,EU,EU,PROPN,PERSON_I
text1,1,8,-,-,PUNCT,PERSON_I
text1,1,9,Rats,Rats,PROPN,PERSON_I
text1,1,10,zur,zur,NOUN,
text1,1,11,Chatkontrolle,Chatkontrolle,PROPN,GPE_B
text1,1,12,mehr,mehr,NOUN,
text1,1,13,geben,geben,NOUN,
text1,1,14,.,.,PUNCT,
text1,2,1,Die,die,VERB,
text1,2,2,belgische,belgische,NOUN,
text1,2,3,Ratspräsidentschaft,Ratspräsidentschaft,PROPN,PERSON_B
text1,2,4,hat,hat,PROPN,
text1,2,5,den,den,NOUN,
text1,2,6,entsprechenden,entsprechenden,PROPN,
text1,2,7,Punkt,Punkt,PROPN,ORG_B
text1,2,8,von,von,PROPN,
text1,2,9,der,der,NOUN,
text1,2,10,Tagesordnung,Tagesordnung,PROPN,NORP_B
text1,2,11,genommen,genommen,VERB,
text1,2,12,.,.,PUNCT,
text1,3,1,Grund,Grund,PROPN,
text1,3,2,ist,ist,PROPN,
text1,3,3,",",",",PUNCT,
text1,3,4,dass,dass,NOUN,
text1,3,5,keine,keine,NOUN,
text1,3,6,ausreichende,ausreichende,NOUN,
text1,3,7,Mehrheit,Mehrheit,PROPN,GPE_B
text1,3,8,zugestimmt,zugestimmt,PROPN,
text1,3,9,hätte,hätte,PROPN,
text1,3,10,.,.,PUNCT,
text3,1,1,Das,Das,PROPN,
text3,1,2,bestätigen,bestätigen,NOUN,PERSON_B
text3,1,3,Sprecher,Sprecher,PROPN,PERSON_I
text3,1,4,:,:,PUNCT,
text3,1,5,innen,innen,NOUN,
text3,1,6,vom,vom,NOUN,
text3,1,7,Rat,Rat,PROPN,
text3,1,8,und,und,PROPN,
text3,1,9,mehreren,mehreren,PROPN,
text3,1,10,EU,EU,PROPN,ORG_B
text3,1,11,-,-,PUNCT,
text3,1,12,Staaten,Staaten,PROPN,
text3,1,13,gegenüber,gegenüber,NOUN,
text3,1,14,netzpolitik.org,netzpolitik.org,NUM,
text3,1,15,.,.,PUNCT,
text3,2,1,Eigentlich,Eigentlich,PROPN,
text3,2,2,hätten,hätten,VERB,
text3,2,3,die,die,VERB,
text3,2,4,Vertreter,Vertreter,PROPN,
text3,2,5,:,:,PUNCT,
text3,2,6,innen,innen,NOUN,
text3,2,7,der,der,NOUN,
text3,2,8,Staaten,Staaten,PROPN,ORG_B
text3,2,9,heute,heute,NOUN,
text3,2,10,den,den,VERB,
text3,2,11,Gesetzentwurf,Gesetzentwurf,PROPN,PERSON_B
text3,2,12,Belgiens,Belgiens,PROPN,PERSON_I
text3,2,13,als,al,NOUN,
text3,2,14,Verhandlungsposition,Verhandlungsposition,PROPN,
text3,2,15,des,des,X,
text3,2,16,Rats,Rats,PROPN,
text3,2,17,annehmen,annehmen,VERB,
text3,2,18,sollen,sollen,NOUN,
text3,2,19,.,.,PUNCT,
text5,1,1,Stattdessen,Stattdessen,PROPN,ORG_B
text5,1,2,wurde,wurde,PROPN,ORG_I
text5,1,3,der,der,PROPN,
text5,1,4,Punkt,Punkt,PROPN,ORG_B
text5,1,5,auf,auf,PROPN,
text5,1,6,unbestimmte,unbestimmte,ADJ,
text5,1,7,Zeit,Zeit,PROPN,ORG_B
text5,1,8,vertagt,vertagt,NOUN,
text5,1,9,.,.,PUNCT,
text5,2,1,Der,Der,PROPN,PERSON_B
text5,2,2,Ausschuss,Ausschuss,PROPN,PERSON_I
text5,2,3,der,der,PROPN,
text5,2,4,Ständigen,Ständigen,PROPN,PERSON_B
text5,2,5,Vertreter,Vertreter,PROPN,PERSON_I
text5,2,6,:,:,PUNCT,
text5,2,7,innen,innen,NOUN,
text5,2,8,tagt,tagt,NOUN,
text5,2,9,zwar,zwar,PROPN,
text5,2,10,jede,jede,PROPN,
text5,2,11,Woche,Woche,PROPN,
text5,2,12,",",",",PUNCT,
text5,2,13,aber,aber,PROPN,
text5,2,14,kurzfristig,kurzfristig,PROPN,PERSON_B
text5,2,15,kann,kann,PROPN,PERSON_I
text5,2,16,Belgien,Belgien,PROPN,PERSON_I
text5,2,17,keinen,keinen,PROPN,
text5,2,18,mehrheitsfähigen,mehrheitsfähigen,NOUN,
text5,2,19,Vorschlag,Vorschlag,PROPN,ORG_B
text5,2,20,präsentieren,präsentieren,NOUN,
text5,2,21,.,.,PUNCT,
text5,3,1,I,I,PRON,
text5,3,2,m,m,VERB,
text5,3,3,Juli,Juli,PROPN,PERSON_B
text5,3,4,geht,geht,NOUN,
text5,3,5,die,die,PROPN,
