doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Ein,Ein,PROPN,
text1,1,2,ereignisreiches,ereignisreiche,VERB,
text1,1,3,Jahr,Jahr,PROPN,PERSON_B
text1,1,4,geht,geht,VERB,
text1,1,5,zu,zu,PROPN,
text1,1,6,Ende,Ende,PROPN,
text1,1,7,.,.,PUNCT,
text1,2,1,Wie,wie,NOUN,PERSON_B
text1,2,2,unterschiedlich,unterschiedlich,NOUN,
text1,2,3,die,die,VERB,
text1,2,4,netzpolitischen,netzpolitischen,NOUN,
text1,3,1,Themen,Themen,PROPN,PERSON_B
text1,3,2,in,in,ADP,
text1,3,3,den,den,NOUN,
text1,3,4,vergangenen,vergangenen,NOUN,
text1,3,5,zwölf,zwölf,NOUN,
text1,3,6,Monaten,Monaten,PROPN,
text1,3,7,waren,waren,PROPN,
text1,3,8,",",",",PUNCT,
text1,3,9,zeigt,zeigt,PROPN,PERSON_B
text1,3,10,bereits,bereit,VERB,
text1,3,11,der,der,PROPN,PERSON_B
text1,3,12,Blick,Blick,PROPN,PERSON_I
text1,3,13,auf,auf,PROPN,PERSON_I
text1,3,14,den,den,VERB,
text1,3,15,Jahresanfang,Jahresanfang,PROPN,GPE_B
text1,3,16,.,.,PUNCT,
text3,1,1,Denn,Denn,PROPN,
text3,1,2,noch,noch,PROPN,
text3,1,3,weit,weit,PROPN,
text3,1,4,bis,bis,PROPN,
text3,1,5,in,in,ADP,
text3,1,6,das,das,PROPN,
text3,1,7,erste,erste,NOUN,
text3,1,8,Quartal,Quartal,PROPN,ORG_B
text3,1,9,hinein,hinein,PROPN,
text3,1,10,prägt,prägt,VERB,
text3,1,11,das,das,PROPN,
text3,1,12,Thema,Thema,PROPN,
text3,1,13,Corona,Corona,PROPN,
text3,1,14,unsere,unsere,NOUN,
text3,1,15,Berichterstattung,Berichterstattung,PROPN,GPE_B
text3,1,16,",",",",PUNCT,
text3,1,17,etwa,etwa,NOUN,
text3,1,18,hinsichtlich,hinsichtlich,NOUN,
text3,1,19,der,der,NOUN,
text3,1,20,dahinsiechenden,dahinsiechenden,PROPN,
text3,1,21,Luca,Luca,PROPN,ORG_B
text3,1,22,-,-,PUNCT,ORG_I
text3,1,23,App,App,PROPN,ORG_I
text3,1,24,oder,oder,NOUN,
text3,1,25,der,der,NOUN,
text3,1,26,dauerüberlasteten,dauerüberlasteten,NOUN,
text3,1,27,Hotlines,Hotlines,PROPN,ORG_B
text3,1,28,der,der,PROPN,
text3,1,29,Corona,Corona,PROPN,
text3,1,30,-,-,PUNCT,
text3,1,31,Warn,Warn,PROPN,
text3,1,32,-,-,PUNCT,
text3,1,33,App,App,PROPN,
text3,1,34,.,.,PUNCT,
text3,2,1,Der,Der,PROPN,PERSON_B
text3,2,2,russische,russische,NOUN,
text3,2,3,Angriffskrieg,Angriffskrieg,PROPN,ORG_B
text3,2,4,auf,auf,PROPN,
text3,2,5,die,die,VERB,
text3,2,6,Ukraine,Ukraine,PROPN,GPE_B
text3,2,7,Ende,Ende,PROPN,
text3,2,8,Februar,Februar,PROPN,
text3,2,9,führt,führt,VERB,
text3,2,10,dann,dann,PROPN,
text3,2,11,online,online,PROPN,
text3,2,12,zu,zu,PROPN,PERSON_B
text3,2,13,Zensur,Zensur,PROPN,PERSON_I
text3,2,14,",",",",PUNCT,
text3,2,15,Propagandaschlachten,Propagandaschlachten,PROPN,
text3,2,16,und,und,VERB,
text3,2,17,Informationskontrolle,Informationskontrolle,PROPN,ORG_B
text3,2,18,sowie,sowie,NOUN,
text3,2,19,zu,zu,PROPN,
text3,2,20,Cyberangriffen,Cyberangriffen,PROPN,ORG_B
text3,2,21,",",",",PUNCT,ORG_I
text3,2,22,Falschinformationen,Falschinformationen,PROPN,ORG_I
text3,2,23,und,und,NOUN,
text3,2,24,digitalem,digitalem,NOUN,
text3,2,25,Astroturfing,astroturfing,NOUN,
text3,2,26,;,;,PUNCT,
text3,2,27,auf,auf,PROPN,
text3,2,28,dem,dem,ADJ,NORP_B
text3,2,29,Schlachtfeld,Schlachtfeld,PROPN,PRODUCT_B
text3,2,30,kommen,kommen,PROPN,
text3,2,31,zudem,zudem,PROPN,
text3,2,32,vermehrt,vermehrt,PROPN,
text3,2,33,Drohnen,Drohnen,PROPN,PERSON_B
text3,2,34,zum,zum,PROPN,PERSON_I
text3,2,35,Einsatz,Einsatz,PROPN,PERSON_I
text3,2,36,.,.,PUNCT,
text5,1,1,I,I,PRON,
text5,1,2,m,m,VERB,
text5,1,3,April,April,PROPN,DATE_B
text5,1,4,einigt,einigt,PROPN,
text5,1,5,sich,sich,PROPN,
text5,1,6,die,die,PROPN,
text5,2,1,EU,EU,PROPN,ORG_B
text5,2,2,auf,auf,PROPN,
text5,2,3,das,das,PROPN,PERSON_B
