doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Die,die,VERB,ORG_B
text1,1,2,EU,EU,PROPN,ORG_I
text1,1,3,-,-,PUNCT,ORG_I
text1,1,4,Kommission,Kommission,PROPN,ORG_I
text1,1,5,plant,plant,NOUN,
text1,1,6,ein,ein,PROPN,
text1,1,7,Gesetzespaket,Gesetzespaket,PROPN,GPE_B
text1,1,8,",",",",PUNCT,
text1,1,9,das,das,PROPN,
text1,1,10,möglicherweise,möglicherweise,NOUN,
text1,1,11,Internetanbieter,Internetanbieter,PROPN,PRODUCT_B
text1,1,12,dazu,dazu,NOUN,
text1,1,13,verpflichten,verpflichten,VERB,PERSON_B
text1,1,14,wird,wird,NOUN,PERSON_I
text1,1,15,",",",",PUNCT,
text1,1,16,Inhalte,Inhalte,PROPN,NORP_B
text1,1,17,auf,auf,PROPN,
text1,1,18,den,den,NOUN,
text1,1,19,Smartphones,Smartphones,PROPN,
text1,1,20,von,von,PROPN,
text1,1,21,unbescholtenen,unbescholtenen,NOUN,
text1,1,22,Bürger,Bürger,PROPN,
text1,1,23,:,:,PUNCT,
text1,1,24,innen,innen,NOUN,
text1,1,25,auf,auf,PROPN,
text1,1,26,Darstellungen,Darstellungen,PROPN,PERSON_B
text1,1,27,von,von,PROPN,PERSON_I
text1,1,28,Kindesmissbrauch,Kindesmissbrauch,PROPN,PERSON_I
text1,1,29,zu,zu,NOUN,PERSON_I
text1,1,30,durchsuchen,durchsuchen,VERB,PERSON_I
text1,1,31,–,–,PUNCT,
text1,1,32,und,und,ADJ,
text1,1,33,zwar,zwar,ADJ,
text1,1,34,bevor,bevor,NOUN,
text1,1,35,sie,sie,PROPN,
text1,1,36,Messenger,Messenger,PROPN,PERSON_B
text1,1,37,wie,wie,NOUN,
text1,1,38,WhatsApp,WhatsApp,PROPN,ORG_B
text1,1,39,nutzen,nutzen,NOUN,
text1,1,40,.,.,PUNCT,
text1,2,1,Diese,diese,ADJ,NORP_B
text1,2,2,Pläne,Pläne,PROPN,
text1,2,3,werden,werden,NOUN,
text1,2,4,in,in,ADP,
text1,2,5,der,der,PROPN,
text1,2,6,öffentlichen,öffentlichen,ADJ,
text1,2,7,Debatte,Debatte,PROPN,ORG_B
text1,2,8,als,al,NOUN,
text1,2,9,„,„,PUNCT,
text1,2,10,Chatkontrolle,Chatkontrolle,PROPN,
text1,2,11,“,"""",PUNCT,
text1,2,12,bezeichnet,bezeichnet,NOUN,
text1,2,13,",",",",PUNCT,
text1,2,14,Fachleute,Fachleute,PROPN,PRODUCT_B
text1,2,15,sprechen,sprechen,PROPN,
text1,2,16,auch,auch,PROPN,PERSON_B
text1,2,17,von,von,PROPN,PERSON_I
text1,3,1,„,„,PUNCT,
text1,3,2,Client,Client,PROPN,
text1,3,3,-,-,PUNCT,
text1,3,4,Side,Side,PROPN,
text1,3,5,-,-,PUNCT,
text1,3,6,Scanning,Scanning,PROPN,
text1,3,7,“,"""",PUNCT,
text1,3,8,.,.,PUNCT,
text3,1,1,Der,Der,PROPN,PERSON_B
text3,1,2,Meta,Meta,PROPN,PERSON_I
text3,1,3,-,-,PUNCT,PERSON_I
text3,1,4,Konzern,Konzern,PROPN,PERSON_I
text3,1,5,",",",",PUNCT,
text3,1,6,zu,zu,ADJ,
text3,1,7,dem,dem,ADJ,
text3,1,8,WhatsApp,WhatsApp,PROPN,ORG_B
text3,1,9,",",",",PUNCT,
text3,1,10,Facebook,Facebook,PROPN,
text3,1,11,und,und,VERB,
text3,1,12,Instagram,Instagram,PROPN,PERSON_B
text3,1,13,gehören,gehören,NOUN,PERSON_I
text3,1,14,",",",",PUNCT,
text3,1,15,stellt,stellt,PROPN,PERSON_B
text3,1,16,sich,sich,PROPN,PERSON_I
text3,1,17,nun,nun,PROPN,PERSON_I
text3,1,18,gegen,gegen,PROPN,
text3,1,19,solche,solche,PROPN,
text3,1,20,Pläne,Pläne,PROPN,PERSON_B
text3,1,21,.,.,PUNCT,
text3,2,1,Meta,meta,ADJ,ORG_B
text3,2,2,hält,hält,NOUN,
text3,2,3,es,es,X,
text3,2,4,derzeit,derzeit,ADJ,
text3,2,5,für,für,NOUN,
text3,2,6,ausgeschlossen,ausgeschlossen,PROPN,
text3,2,7,",",",",PUNCT,
text3,2,8,Technologien,Technologien,PROPN,GPE_B
text3,2,9,wie,wie,NOUN,
text3,2,10,die,die,VERB,
text3,2,11,„,„,PUNCT,
text3,2,12,Chatkontrolle,Chatkontrolle,PROPN,
text3,2,13,“,"""",PUNCT,
text3,2,14,einzuführen,einzuführen,PROPN,
text3,2,15,",",",",PUNCT,
text3,2,16,ohne,ohne,NOUN,
text3,2,17,die,die,VERB,
text3,2,18,Ende,ende,NOUN,ORG_B
text3,2,19,-,-,PUNCT,ORG_I
text3,2,20,zu,zu,NOUN,ORG_I
text3,2,21,-,-,PUNCT,ORG_I
text3,2,22,Ende,ende,ADJ,ORG_I
text3,2,23,-,-,PUNCT,ORG_I
text3,2,24,Verschlüsselung,Verschlüsselung,PROPN,ORG_I
text3,2,25,zu,zu,NOUN,
text3,2,26,schwächen,schwächen,NOUN,
text3,2,27,oder,oder,NOUN,
text3,2,28,zu,zu,PROPN,
text3,2,29,brechen,brechen,ADV,
text3,2,30,.,.,PUNCT,
text3,3,1,Der,Der,PROPN,PERSON_B
text3,3,2,Konzern,Konzern,PROPN,PERSON_I
text3,3,3,sieht,sieht,NOUN,
text3,3,4,die,die,VERB,
text3,3,5,negativen,negativen,VERB,
text3,4,1,Auswirkungen,Auswirkungen,PROPN,PERSON_B
text3,4,2,auf,auf,PROPN,
text3,4,3,Privatsphäre,Privatsphäre,PROPN,PERSON_B
text3,4,4,",",",",PUNCT,
text3,4,5,Meinungsfreiheit,Meinungsfreiheit,PROPN,ORG_B
text3,4,6,und,und,PROPN,
text3,4,7,andere,andere,VERB,
text3,4,8,Rechte,Rechte,PROPN,PERSON_B
text3,4,9,als,al,NOUN,
text3,4,10,so,so,ADV,
text3,4,11,gravierend,gravierend,PROPN,
text3,4,12,und,und,PROPN,
text3,4,13,unverhältnismäßig,unverhältnismäßig,NOUN,
text3,4,14,an,an,DET,
text3,4,15,",",",",PUNCT,
text3,4,16,dass,dass,PROPN,
text3,4,17,ein,ein,PROPN,PERSON_B
text3,4,18,Durchsuchen,Durchsuchen,PROPN,PERSON_I
text3,4,19,von,von,PROPN,PERSON_I
text3,4,20,Inhalten,Inhalten,PROPN,PERSON_I
text3,4,21,auf,auf,PROPN,
text3,4,22,den,den,NOUN,
text3,4,23,Smartphones,Smartphones,PROPN,
text3,4,24,der,der,PROPN,
text3,4,25,Nutzer,Nutzer,PROPN,PERSON_B
text3,4,26,:,:,PUNCT,
text3,4,27,innen,innen,NOUN,
text3,4,28,„,„,SYM,
text3,4,29,nicht,nicht,NOUN,
text3,4,30,weiterverfolgt,weiterverfolgt,VERB,
text3,4,31,werden,werden,ADJ,
text3,4,32,“,"""",PUNCT,
text3,4,33,sollte,sollte,PROPN,
text3,4,34,–,–,PUNCT,
text3,4,35,selbst,selbst,PROPN,
text3,4,36,wenn,wenn,PROPN,
text3,4,37,es,es,PROPN,
text3,4,38,technisch,technisch,PROPN,
text3,4,39,möglich,möglich,PROPN,
text3,4,40,wäre,wäre,PROPN,
text3,4,41,.,.,PUNCT,
text5,1,1,Der,Der,PROPN,PERSON_B
text5,1,2,Facebook,Facebook,PROPN,PERSON_I
text5,1,3,-,-,PUNCT,PERSON_I
text5,1,4,Konzern,Konzern,PROPN,PERSON_I
text5,1,5,Meta,Meta,PROPN,PERSON_I
text5,1,6,beruft,beruft,NOUN,
text5,1,7,sich,sich,SCONJ,
text5,1,8,hierbei,hierbei,VERB,
text5,1,9,auf,auf,PROPN,
text5,1,10,eine,eine,NOUN,
text5,1,11,Menschenrechtsfolgenabschätzung,Menschenrechtsfolgenabschätzung,PROPN,GPE_B
text5,1,12,",",",",PUNCT,
text5,1,13,die,die,VERB,
text5,1,14,Meta,Meta,PROPN,ORG_B
text5,1,15,selbst,selbst,NOUN,
text5,1,16,in,in,ADP,
text5,1,17,Auftrag,Auftrag,PROPN,GPE_B
text5,1,18,gegeben,gegeben,NOUN,
text5,1,19,hat,hat,NOUN,
text5,1,20,",",",",PUNCT,
text5,1,21,um,um,INTJ,
text5,1,22,die,die,VERB,
text5,1,23,übergreifende,übergreifende,NOUN,
text5,1,24,Einführung,einführung,ADJ,GPE_B
text5,1,25,einer,einer,NOUN,
text5,1,26,Ende,Ende,PROPN,
text5,1,27,-,-,PUNCT,
text5,1,28,zu,zu,PROPN,
text5,1,29,-,-,PUNCT,
text5,1,30,Ende,ende,ADJ,
text5,1,31,-,-,PUNCT,
text5,1,32,Verschlüsselung,Verschlüsselung,PROPN,
text5,1,33,auf,auf,PROPN,
text5,1,34,den,den,VERB,
text5,1,35,eigenen,eigenen,PROPN,
text5,1,36,Produkten,Produkten,PROPN,PERSON_B
text5,1,37,zu,zu,NOUN,PERSON_I
text5,1,38,bewerten,bewerten,NOUN,PERSON_I
text5,1,39,.,.,PUNCT,
text5,2,1,Die,die,VERB,
text5,2,2,120,120,NUM,CARDINAL_B
text5,2,3,Seiten,Seiten,PROPN,
text5,2,4,starke,starke,NOUN,
text5,2,5,Untersuchung,Untersuchung,PROPN,
text5,2,6,(,(,PUNCT,
text5,2,7,PDF,PDF,PROPN,ORG_B
text5,2,8,),),PUNCT,
text5,2,9,wägt,wägt,VERB,
text5,2,10,Vor-,Vor-,VERB,
text5,3,1,und,und,VERB,
text5,3,2,Nachteile,nachteile,ADJ,
text5,3,3,einer,einer,NOUN,
text5,3,4,Ende,Ende,PROPN,
text5,3,5,-,-,PUNCT,
text5,3,6,zu,zu,PROPN,
text5,3,7,-,-,PUNCT,
text5,3,8,Ende,ende,ADJ,
text5,3,9,-,-,PUNCT,
text5,3,10,Verschlüsselung,Verschlüsselung,PROPN,
text5,3,11,ab,ab,PROPN,
text5,3,12,und,und,PROPN,
text5,3,13,gibt,gibt,NOUN,
text5,3,14,45,45,NUM,CARDINAL_B
text5,3,15,Empfehlungen,Empfehlungen,PROPN,ORG_B
text5,3,16,für,für,ADV,
text5,3,17,den,den,VERB,
text5,3,18,Konzern,Konzern,PROPN,PERSON_B
text5,3,19,.,.,PUNCT,
text7,1,1,In,in,ADP,
text7,1,2,einer,einer,NOUN,
text7,1,3,englischsprachigen,englischsprachigen,NOUN,
text7,1,4,Meldung,Meldung,PROPN,PERSON_B
text7,1,5,des,des,PROPN,
text7,1,6,Unternehmens,Unternehmens,PROPN,
text7,1,7,zu,zu,X,
text7,1,8,dieser,dieser,NOUN,
text7,1,9,Untersuchung,Untersuchung,PROPN,
text7,1,10,heißt,heißt,NOUN,
text7,1,11,es,es,X,
text7,1,12,:,:,PUNCT,
text9,1,1,Scantechnologien,Scantechnologien,PROPN,GPE_B
text9,1,2,",",",",PUNCT,
text9,1,3,die,die,VERB,
text9,1,4,versuchen,versuchen,ADV,
text9,1,5,",",",",PUNCT,
text9,1,6,proaktiv,proaktiv,PROPN,
