doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Something,something,PRON,
text1,1,2,in,in,ADP,
text1,1,3,the,the,DET,
text1,1,4,millions,million,NOUN,CARDINAL_B
text1,1,5,–,–,PUNCT,
text1,1,6,that,that,PRON,
text1,1,7,is,be,AUX,
text1,1,8,a,a,DET,
text1,1,9,number,number,NOUN,
text1,1,10,that,that,PRON,
text1,1,11,sticks,stick,VERB,
text1,1,12,when,when,SCONJ,
text1,1,13,you,you,PRON,
text1,1,14,read,read,VERB,
text1,1,15,reports,report,NOUN,
text1,1,16,about,about,ADP,
text1,1,17,sexualized,sexualized,ADJ,
text1,1,18,violence,violence,NOUN,
text1,1,19,against,against,ADP,
text1,1,20,children,child,NOUN,
text1,1,21,.,.,PUNCT,
text1,2,1,Numbers,number,NOUN,
text1,2,2,are,be,AUX,
text1,2,3,news,news,NOUN,
text1,2,4,",",",",PUNCT,
text1,2,5,and,and,CCONJ,
text1,2,6,when,when,SCONJ,
text1,2,7,it,it,PRON,
text1,2,8,comes,come,VERB,
text1,2,9,to,to,ADP,
text1,2,10,serious,serious,ADJ,
text1,2,11,crimes,crime,NOUN,
text1,2,12,",",",",PUNCT,
text1,2,13,their,their,PRON,
text1,2,14,news,news,NOUN,
text1,2,15,value,value,NOUN,
text1,2,16,is,be,AUX,
text1,2,17,high,high,ADJ,
text1,2,18,.,.,PUNCT,
text1,3,1,But,but,CCONJ,
text1,3,2,numbers,number,NOUN,
text1,3,3,have,have,VERB,
text1,3,4,to,to,PART,
text1,3,5,be,be,AUX,
text1,3,6,correct,correct,ADJ,
text1,3,7,and,and,CCONJ,
text1,3,8,need,need,VERB,
text1,3,9,to,to,PART,
text1,3,10,be,be,AUX,
text1,3,11,contextualised,contextualise,VERB,
text1,3,12,",",",",PUNCT,
text1,3,13,which,which,PRON,
text1,3,14,often,often,ADV,
text1,3,15,proves,prove,VERB,
text1,3,16,challenging,challenge,VERB,
text1,3,17,for,for,ADP,
text1,3,18,news,news,NOUN,
text1,3,19,media,medium,NOUN,
text1,3,20,and,and,CCONJ,
text1,3,21,politicians,politician,NOUN,
text1,3,22,.,.,PUNCT,
text3,1,1,This,this,PRON,
text3,1,2,is,be,AUX,
text3,1,3,particularly,particularly,ADV,
text3,1,4,true,true,ADJ,
text3,1,5,in,in,ADP,
text3,1,6,an,an,DET,
text3,1,7,ongoing,ongoing,ADJ,
text3,1,8,debate,debate,NOUN,
text3,1,9,among,among,ADP,
text3,1,10,politicians,politician,NOUN,
text3,1,11,",",",",PUNCT,
text3,1,12,child,child,NOUN,
text3,1,13,protectors,protector,NOUN,
text3,1,14,",",",",PUNCT,
text3,1,15,civil,civil,ADJ,
text3,1,16,rights,right,NOUN,
text3,1,17,organizations,organization,NOUN,
text3,1,18,and,and,CCONJ,
text3,1,19,IT,it,NOUN,
text3,1,20,experts,expert,NOUN,
text3,1,21,over,over,ADP,
text3,1,22,a,a,DET,
text3,1,23,new,new,ADJ,
