doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Durch,durch,NOUN,
text1,1,2,eine,eine,NOUN,
text1,1,3,Recherche,Recherche,PROPN,PRODUCT_B
text1,1,4,von,von,PROPN,PRODUCT_I
text1,1,5,„,„,PUNCT,PRODUCT_I
text1,1,6,Follow,follow,VERB,WORK_OF_ART_B
text1,1,7,The,the,DET,WORK_OF_ART_I
text1,1,8,Money,money,NOUN,WORK_OF_ART_I
text1,1,9,“,"""",PUNCT,
text1,1,10,ist,ist,ADJ,
text1,1,11,herausgekommen,herausgekomman,NOUN,
text1,1,12,",",",",PUNCT,
text1,1,13,dass,dass,NOUN,
text1,1,14,Ashton,Ashton,PROPN,ORG_B
text1,1,15,Kutchers,Kutchers,PROPN,ORG_I
text1,1,16,Organisation,Organisation,PROPN,ORG_I
text1,1,17,Thorn,Thorn,PROPN,PERSON_B
text1,1,18,von,von,PROPN,PERSON_I
text1,1,19,Anfang,Anfang,PROPN,PERSON_I
text1,1,20,an,an,DET,
text1,1,21,der,der,ADJ,
text1,1,22,EU,EU,PROPN,ORG_B
text1,1,23,-,-,PUNCT,ORG_I
text1,1,24,Kommission,Kommission,PROPN,ORG_I
text1,1,25,aufzeigte,aufzeigte,NOUN,
text1,1,26,",",",",PUNCT,
text1,1,27,dass,dass,NOUN,
text1,1,28,die,die,VERB,
text1,1,29,Chatkontrolle,Chatkontrolle,PROPN,GPE_B
text1,1,30,nicht,nicht,NOUN,
text1,1,31,nur,nur,VERB,
text1,1,32,gegen,gegen,INTJ,
text1,1,33,Kindesmissbrauch,Kindesmissbrauch,PROPN,
text1,1,34,eingesetzt,eingesetzt,PROPN,
text1,1,35,werden,werden,PROPN,
text1,1,36,könne,könne,PROPN,PERSON_B
text1,1,37,.,.,PUNCT,
text1,2,1,Thorn,Thorn,PROPN,PERSON_B
text1,2,2,",",",",PUNCT,
text1,2,3,das,das,PROPN,
text1,2,4,mehr,mehr,PROPN,
text1,2,5,wie,wie,PROPN,
text1,2,6,ein,ein,PROPN,
text1,2,7,Startup,Startup,PROPN,PRODUCT_B
text1,2,8,denn,denn,NOUN,
text1,2,9,eine,eine,NOUN,
text1,2,10,Wohltätigkeitsorganisation,Wohltätigkeitsorganisation,PROPN,ORG_B
text1,2,11,wirkt,wirkt,NOUN,
text1,2,12,",",",",PUNCT,
text1,2,13,war,war,NOUN,
text1,2,14,maßgeblich,maßgeblich,PROPN,
text1,2,15,an,an,DET,
text1,2,16,den,den,NOUN,
text1,2,17,Chatkontrolle,Chatkontrolle,PROPN,PERSON_B
text1,2,18,-,-,PUNCT,PERSON_I
text1,2,19,Plänen,Plänen,PROPN,PERSON_I
text1,2,20,beteiligt,beteiligt,PROPN,
text1,2,21,und,und,PROPN,
text1,2,22,hatte,hatte,PROPN,PERSON_B
text1,2,23,einen,einen,PROPN,PERSON_I
text1,2,24,extrem,extrem,PROPN,ORG_B
text1,2,25,guten,guten,VERB,ORG_I
text1,2,26,Draht,Draht,PROPN,ORG_I
text1,2,27,zur,zur,PROPN,
text1,2,28,EU,EU,PROPN,ORG_B
text1,2,29,-,-,PUNCT,
text1,2,30,Innenkommissarin,Innenkommissarin,PROPN,PERSON_B
text1,2,31,Ylva,Ylva,PROPN,PERSON_I
text1,2,32,Johansson,Johansson,PROPN,PERSON_I
text1,2,33,.,.,PUNCT,
text3,1,1,Durch,Durch,PROPN,ORG_B
text3,1,2,ein,ein,NOUN,ORG_I
text3,1,3,Dokument,Dokument,PROPN,ORG_I
text3,1,4,",",",",PUNCT,
text3,1,5,das,das,PROPN,
text3,1,6,Follow,Follow,PROPN,
text3,1,7,The,the,DET,
text3,1,8,Money,Money,PROPN,
text3,1,9,für,für,NOUN,
text3,1,10,seine,seine,NOUN,
text3,1,11,Recherche,Recherche,PROPN,ORG_B
text3,1,12,über,über,PROPN,
text3,1,13,das,das,PROPN,
text3,1,14,schwedische,schwedische,NOUN,
text3,1,15,Informationsfreiheitsgesetz,Informationsfreiheitsgesetz,PROPN,
text3,1,16,erhielt,erhielt,PROPN,
text3,1,17,",",",",PUNCT,
text3,1,18,wird,wird,NOUN,
text3,1,19,klar,klar,PROPN,
text3,1,20,",",",",PUNCT,
text3,1,21,dass,dass,PROPN,
text3,1,22,Thorn,Thorn,PROPN,PRODUCT_B
text3,1,23,bei,bei,NOUN,
text3,1,24,seiner,seiner,NOUN,
text3,1,25,Lobbyarbeit,Lobbyarbeit,PROPN,GPE_B
text3,1,26,nicht,nicht,PROPN,
text3,1,27,nur,nur,AUX,
text3,1,28,die,die,VERB,
text3,1,29,Erkennung,Erkennung,PROPN,PERSON_B
text3,1,30,von,von,PROPN,PERSON_I
text3,1,31,Kindesmissbrauchsmaterial,Kindesmissbrauchsmaterial,PROPN,PERSON_I
text3,1,32,(,(,PUNCT,
text3,1,33,CSAM,CSAM,PROPN,ORG_B
text3,1,34,),),PUNCT,
text3,2,1,i,I,PRON,
text3,2,2,m,m,VERB,
text3,2,3,Blick,Blick,PROPN,PERSON_B
text3,2,4,hatte,hatte,PROPN,PERSON_I
text3,2,5,",",",",PUNCT,
text3,2,6,sondern,sondern,ADJ,
text3,2,7,eine,eine,NOUN,
text3,2,8,breitere,breitere,NOUN,
text3,2,9,Nutzung,Nutzung,PROPN,PERSON_B
text3,2,10,ansprach,ansprach,NOUN,
text3,2,11,.,.,PUNCT,
text3,3,1,So,so,ADV,
text3,3,2,heißt,heißt,NOUN,
text3,3,3,es,es,X,
text3,3,4,in,in,ADP,
text3,3,5,diesem,diesem,PROPN,
text3,3,6,Dokument,Dokument,PROPN,
text3,3,7,:,:,PUNCT,
text5,1,1,Bei,Bei,PROPN,
text5,1,2,den,den,VERB,
text5,1,3,Überlegungen,Überlegungen,PROPN,
text5,1,4,zur,zur,NOUN,DATE_B
text5,1,5,Regulierung,Regulierung,PROPN,DATE_I
text5,1,6,oder,oder,NOUN,
text5,1,7,Gesetzgebung,Gesetzgebung,PROPN,PERSON_B
text5,1,8,i,I,PRON,
text5,1,9,m,m,VERB,
text5,2,1,Bereich,Bereich,PROPN,PERSON_B
text5,2,2,der,der,PROPN,PERSON_I
text5,2,3,Verschlüsselung,Verschlüsselung,PROPN,PERSON_I
text5,2,4,sollte,sollte,PROPN,
text5,2,5,man,man,NOUN,
text5,2,6,sich,sich,SCONJ,
text5,2,7,nicht,nicht,PROPN,
text5,2,8,nur,nur,VERB,
text5,2,9,auf,auf,PROPN,
text5,2,10,die,die,VERB,
text5,2,11,CSAM,CSAM,PROPN,ORG_B
text5,2,12,konzentrieren,konzentrieren,NOUN,
text5,2,13,.,.,PUNCT,
text5,3,1,Lösungen,Lösungen,PROPN,
text5,3,2,für,für,NOUN,
text5,3,3,die,die,VERB,
text5,3,4,Erkennung,Erkennung,PROPN,GPE_B
text5,3,5,in,in,ADP,
text5,3,6,verschlüsselten,verschlüsselten,ADJ,
text5,3,7,Umgebungen,Umgebungen,PROPN,GPE_B
text5,3,8,sind,sind,NOUN,
text5,3,9,viel,viel,NOUN,PERSON_B
